timestamp,eventType,domain,seconds
time_spent,github.com,12,2025-10-04T15:09:59.592Z
page_load,github.com,,2025-10-04T15:10:00.122Z
time_spent,github.com,10,2025-10-04T15:10:10.201Z
time_spent,github.com,16,2025-10-04T15:10:26.242Z
page_load,github.com,,2025-10-04T15:10:26.737Z
time_spent,github.com,30,2025-10-04T15:10:57.291Z
page_load,www.youtube.com,,2025-10-04T15:18:08.038Z
time_spent,www.youtube.com,7,2025-10-04T15:18:15.481Z
page_load,www.bing.com,,2025-10-04T15:18:15.651Z
time_spent,www.bing.com,48,2025-10-04T15:19:04.027Z
page_load,www.bing.com,,2025-10-04T15:19:04.120Z
page_load,www.bing.com,,2025-10-04T15:19:04.293Z
time_spent,www.bing.com,709,2025-10-04T15:30:54.097Z
page_load,www.bing.com,,2025-10-04T15:30:54.290Z
time_spent,www.bing.com,165,2025-10-04T15:33:39.534Z
time_spent,www.bing.com,1501,2025-10-04T15:58:41.427Z
page_load,www.dobreprogramy.pl,,2025-10-04T16:04:12.453Z
page_load,www.bing.com,,2025-10-04T16:04:13.024Z
time_spent,www.bing.com,1,2025-10-04T16:04:14.767Z
time_spent,www.dobreprogramy.pl,2,2025-10-04T16:04:15.250Z
time_spent,www.dobreprogramy.pl,2,2025-10-04T16:04:17.400Z
time_spent,www.bing.com,471,2025-10-04T16:06:32.718Z
time_spent,www.bing.com,2848,2025-10-04T16:06:32.755Z
page_load,www.bing.com,,2025-10-04T16:06:32.916Z
time_spent,www.bing.com,3,2025-10-04T16:06:36.367Z
page_load,www.bing.com,,2025-10-04T16:06:36.542Z
time_spent,www.bing.com,3,2025-10-04T16:06:39.589Z
page_load,www.bing.com,,2025-10-04T16:06:39.764Z
time_spent,www.bing.com,2,2025-10-04T16:06:41.816Z
page_load,www.bing.com,,2025-10-04T16:06:41.802Z
page_load,flask.palletsprojects.com,,2025-10-04T16:06:41.990Z
time_spent,flask.palletsprojects.com,13,2025-10-04T16:06:55.389Z
time_spent,www.interia.pl,89,2025-10-04T16:35:11.259Z
page_load,www.bing.com,0,2025-10-04T16:35:11.521Z
time_spent,www.bing.com,3,2025-10-04T16:35:15.119Z
page_load,www.bing.com,0,2025-10-04T16:35:15.301Z
time_spent,www.bing.com,2,2025-10-04T16:35:17.400Z
page_load,127.0.0.1,0,2025-10-04T16:36:02.362Z
time_spent,127.0.0.1,9,2025-10-04T16:36:12.090Z
